A	Agilent Technologies, Inc. Comm
AA	Alcoa Inc. Common Stock
AAP	Advance Auto Parts Inc Advance 
AAV	Advantage Oil & Gas Ltd  Ordina
AB	AllianceBernstein Holding L.P. 
ABC	AmerisourceBergen Corporation C
ABG	Asbury Automotive Group Inc Com
ABM	ABM Industries Incorporated Com
ACC	American Campus Communities Inc
ACE	N/A
ACG	Alliancebernstein Income Fund
ACH	Aluminum Corporation of China L
ACO	N/A
ACTV	N/A
ACW	Accuride Corporation Common Sto
ADC	Agree Realty Corporation Common
ADM	Archer-Daniels-Midland Company 
ADY	N/A
AEE	Ameren Corporation Common Stock
AEH	AEGON N.V. Perp. Cap Secs.
AEL	American Equity Investment Life
AEM	Agnico Eagle Mines Limited Comm
AFC	Allied Capital Corporation Alli
AFL	AFLAC Incorporated Common Stock
AG	First Majestic Silver Corp. Ord
AGCO	AGCO Corporation Common Stock
AGD	Alpine Global Dynamic Dividend 
AGM	Federal Agricultural Mortgage C
AGN	Allergan plc Ordinary Shares
AGO	Assured Guaranty Ltd. Common St
AGU	Agrium Inc. Common Stock
AHC	A.H. Belo Corporation Common St
AI	Arlington Asset Investment Corp
AIB	Apollo Investment Corporation 6
AIG	American International Group, I
AIQ	Alliance HealthCare Services, I
AIV	Apartment Investment and Manage
AIZ	Assurant, Inc. Common Stock
AJG	Arthur J. Gallagher & Co. Commo
AKS	AK Steel Holding Corporation Co
ALJ	Alon USA Energy, Inc. common st
ALV	Autoliv, Inc. Common Stock
AMD	Advanced Micro Devices, Inc.
AME	AMETEK, Inc.
AMID	American Midstream Partners, LP
AMT	American Tower Corporation (REI
AMX	America Movil, S.A.B. de C.V. A
AN	AutoNation, Inc. Common Stock
ANF	Abercrombie & Fitch Company Com
AOD	Alpine Total Dynamic Dividend F
APF	Morgan Stanley Asia-Pacific Fun
APH	Amphenol Corporation Common Sto
APO	Apollo Global Management, LLC C
APU	AmeriGas Partners, L.P. Common 
ARCO	Arcos Dorados Holdings Inc. Cla
ARG	Airgas, Inc. Common Stock
ARI	Apollo Commercial Real Estate F
ARL	American Realty Investors, Inc.
ART	N/A
ARW	Arrow Electronics, Inc. Common 
ASG	Liberty All-Star Growth Fund, I
ASP	N/A
ATO	Atmos Energy Corporation Common
ATT	N/A
ATU	Actuant Corporation Common Stoc
AU	AngloGold Ashanti Limited Commo
AUO	AU Optronics Corp American Depo
AVK	Advent Claymore Convertible Sec
AVP	Avon Products, Inc. Common Stoc
AWH	Allied World Assurance Company 
AWK	American Water Works Company, I
AZO	AutoZone, Inc. Common Stock
AZZ	AZZ Inc.
B	Barnes Group, Inc. Common Stock
BA	Boeing Company (The) Common Sto
BAF	BlackRock Municipal Income Inve
BBK	Blackrock Municipal Bond Trust
BBN	BlackRock Taxable Municipal Bon
BBT	BB&T Corporation Common Stock
BBW	Build-A-Bear Workshop, Inc. Com
BBX	BBX Capital Corporation Common 
BBY	Best Buy Co., Inc. Common Stock
BC	Brunswick Corporation Common St
BCA	Corpbanca Sponsored Reg S GDR r
BCE	BCE, Inc. Common Stock
BCH	Banco De Chile Banco De Chile A
BCS	Barclays PLC Common Stock
BCX	BlackRock Resources Common Shar
BEN	Franklin Resources, Inc. Common
BFO	Blackrock Florida Municipal 202
BFS	Saul Centers, Inc. Common Stock
BG	Bunge Limited Bunge Limited
BGG	Briggs & Stratton Corporation C
BHK	Blackrock Core Bond Trust Black
BID	Sotheby's Common Stock
BIN	Progressive Waste Solutions Ltd
BKD	Brookdale Senior Living Inc. Co
BME	Blackrock Health Sciences Trust
BMS	Bemis Company, Inc. Common Stoc
BNA	N/A
BNS	Bank Nova Scotia Halifax Pfd 3 
BOH	Bank of Hawaii Corporation Comm
BOX	Box, Inc. Class A Common Stock
BP	BP p.l.c. Common Stock
BPI	Bridgepoint Education, Inc.
BQH	Blackrock New York Municipal Bo
BRC	Brady Corporation Common Stock
BRT	BRT Realty Trust Common Stock
BSE	Blackrock New York Municipal In
BSI	Alon Blue Square Israel Ltd.
BSX	Boston Scientific Corporation C
BTO	John Hancock Financial Opportun
BTZ	BlackRock Credit Allocation Inc
BXC	Bluelinx Holdings Inc. Common S
BXP	Boston Properties, Inc. Common 
BXS	BancorpSouth, Inc. Common Stock
BYD	Boyd Gaming Corporation Common 
C	Citigroup, Inc. Common Stock
CAH	Cardinal Health, Inc. Common St
CAJ	Canon, Inc. American Depositary
CALX	Calix, Inc Common Stock
CAS	Castle (A.M.) & Co. Common Stoc
CATO	Cato Corporation (The) Class A 
CBB	Cincinnati Bell Inc. Common Sto
CBD	Companhia Brasileira de Distrib
CBI	Chicago Bridge & Iron Company N
CBK	Christopher & Banks Corporation
CBM	Cambrex Corporation Common Stoc
CBT	Cabot Corporation Common Stock
CBU	Community Bank System, Inc. Com
CBZ	CBIZ, Inc. Common Stock
CCC	Calgon Carbon Corporation Commo
CCE	Coca-Cola Enterprises, Inc. Com
CCH	N/A
CCI	Crown Castle International Corp
CCO	Clear Channel Outdoor Holdings,
CDE	Coeur Mining, Inc. Common Stock
CE	Celanese Corporation Celanese C
CEC	N/A
CEG	N/A
CEM	ClearBridge Energy MLP Fund Inc
CF	CF Industries Holdings, Inc. Co
CFI	Culp, Inc. Common Stock
CFX	Colfax Corporation Common Stock
CGA	China Green Agriculture, Inc. C
CGI	Celadon Group, Inc. Common Stoc
CHC	N/A
CHMT	Chemtura Corp. Common Stock
CHN	China Fund, Inc. (The) Common S
CHS	Chico's FAS, Inc. Common Stock
CHSP	Chesapeake Lodging Trust Common
CIA	Citizens, Inc. Class A Common S
CIB	BanColombia S.A. Common Stock
CIE	Cobalt International Energy, In
CIG	Comp En De Mn Cemig ADS America
CII	Blackrock Capital and Income Fu
CIS	N/A
CIT	CIT Group Inc (DEL) Common Stoc
CJES	C&J Energy Services, Ltd. Commo
CLD	Cloud Peak Energy Inc Common St
CLDT	Chatham Lodging Trust (REIT) Co
CLF	Cliffs Natural Resources Inc Co
CLGX	CoreLogic, Inc. Common Stock
CLNY	Colony Capital, Inc. Class A Co
CLR	Continental Resources, Inc. Com
CLS	Celestica, Inc. Common Stock
CLW	Clearwater Paper Corporation Co
CM	Canadian Imperial Bank of Comme
CMC	Commercial Metals Company Commo
CMI	Cummins Inc. Common Stock
CMP	Compass Minerals Intl Inc Commo
CMU	MFS Municipal Income Trust Comm
CNA	CNA Financial Corporation Commo
CNL	Cleco Corporation Common Stock
CNO	CNO Financial Group, Inc. Commo
CNQ	Canadian Natural Resources Limi
CO	China Cord Blood Corporation Co
CODI	Compass Diversified Holdings Sh
COF	Capital One Financial Corporati
COG	Cabot Oil & Gas Corporation Com
COL	Rockwell Collins, Inc. Common S
COT	Cott Corporation Common Stock
COY	N/A
CP	Canadian Pacific Railway Limite
CPB	Campbell Soup Company Common St
CPN	Calpine Corporation Common Stoc
CR	Crane Company Common Stock
CRY	CryoLife, Inc. Common Stock
CSA	Victory CEMP US Small Cap Volat
CSL	Carlisle Companies Incorporated
CSQ	Calamos Strategic Total Return 
CSV	Carriage Services, Inc. Common 
CSX	CSX Corporation
CTB	Cooper Tire & Rubber Company Co
CTQ	Qwest Corporation 7.375% Notes 
CTS	CTS Corporation Common Stock
CUB	Cubic Corporation Common Stock
CUZ	Cousins Properties Incorporated
CVA	Covanta Holding Corporation Com
CVB	Lehman ABS Corporation 7.75% Co
CVC	Cablevision Systems Corporation
CVS	CVS Health Corporation Common S
CW	Curtiss-Wright Corporation Comm
CWT	California Water Service Group 
CYH	Community Health Systems, Inc. 
DAC	Danaos Corporation Common Stock
DAL	Delta Air Lines, Inc. Common St
DANG	E-Commerce China Dangdang Inc. 
DAR	Darling Ingredients Inc. Common
DCI	Donaldson Company, Inc. Common 
DCM	NTT DOCOMO, Inc American Deposi
DCO	Ducommun Incorporated Common St
DD	E.I. du Pont de Nemours and Com
DDD	3D Systems Corporation Common S
DDF	Delaware Investments Dividend &
DDS	Dillard's, Inc. Common Stock
DDT	Dillard's Capital Trust I
DEO	Diageo plc Common Stock
DEP	N/A
DFG	N/A
DFP	Flaherty & Crumrine Dynamic Pre
DFT	Dupont Fabros Technology, Inc. 
DG	Dollar General Corporation Comm
DHG	Deutsche High Income Opportunit
DHT	DHT Holdings, Inc.
DHX	DHI Group, Inc. Common Stock
DIS	Walt Disney Company (The) Commo
DLB	Dolby Laboratories Common Stock
DLX	Deluxe Corporation Common Stock
DO	Diamond Offshore Drilling, Inc.
DOX	Amdocs Limited
DPM	DCP Midstream Partners, LP DCP 
DPZ	Domino's Pizza Inc Common Stock
DQ	DAQO New Energy Corp. American 
DRH	Diamondrock Hospitality Company
DRI	Darden Restaurants, Inc. Common
DRL	N/A
DSU	Blackrock Debt Strategies Fund,
DSW	DSW Inc. Common Stock
DTE	DTE Energy Company Common Stock
DV	DeVry Education Group Inc. Comm
DVA	DaVita HealthCare Partners Inc.
DVN	Devon Energy Corporation Common
DW	Drew Industries Incorporated Co
DXB	Deutsche Bk Contingent Cap TR I
DYN	Dynegy Inc. Common Stock
E	ENI S.p.A. Common Stock
EAA	Entergy Arkansas, Inc. First Mo
EAT	Brinker International, Inc. Com
EBF	Ennis, Inc. Common Stock
EC	Ecopetrol S.A. American Deposit
EDE	Empire District Electric Compan
EDR	Education Realty Trust, Inc. Co
EEP	Enbridge Energy, L.P. Class A C
EGY	Vaalco Energy Inc Common Stock
EIX	Edison International Common Sto
ELA	Entergy Louisiana, LLC First Mo
ELB	Entergy Louisiana, Inc. 6.0% Se
EMQ	Entergy Mississippi, Inc. 1st M
ENH	Endurance Specialty Holdings Lt
ENI	ENERSIS AMRICAS S.A.
ENR	Energizer Holdings, Inc. Common
ENS	Enersys Common Stock
EOG	EOG Resources, Inc. Common Stoc
EPD	Enterprise Products Partners L.
EPR	EPR Properties Common Stock
EQR	Equity Residential Common Share
EQS	Equus Total Return, Inc. Common
ERF	Enerplus Corporation Common Sto
ESE	ESCO Technologies Inc. Common S
ESS	Essex Property Trust, Inc. Comm
ESV	Ensco plc Class A Ordinary Shar
ETG	Eaton Vance Tax-Advantaged Glob
ETP	Energy Transfer Partners, L.P. 
ETY	Eaton Vance Tax-Managed Diversi
EVC	Entravision Communications Corp
EVN	Eaton Vance Municipal Income Tr
EXAM	ExamWorks Group, Inc. Common St
EXC	Exelon Corporation Common Stock
EXR	Extra Space Storage Inc Common 
FBR	Fibria Celulose S.A.
FCH	FelCor Lodging Trust Incorporat
FCS	Fairchild Semiconductor Interna
FCT	First Trust Senior Floating Rat
FCX	Freeport-McMoRan, Inc. Common S
FDP	Fresh Del Monte Produce, Inc. C
FDX	FedEx Corporation Common Stock
FFA	First Trust Enhanced Equity Inc
FFC	Flaherty & Crumrine Preferred S
FGB	First Trust Specialty Finance a
FGF	N/A
FHN	First Horizon National Corporat
FICO	Fair Isaac Corproation Common S
FIS	Fidelity National Information S
FL	Foot Locker, Inc.
FLC	Flaherty & Crumrine Total Retur
FLO	Flowers Foods, Inc. Common Stoc
FLS	Flowserve Corporation Common St
FLT	FleetCor Technologies, Inc. Com
FLY	Fly Leasing Limited
FMO	Fiduciary/Claymore MLP Opportun
FOE	Ferro Corporation Common Stock
FOF	Cohen & Steers Closed-End Oppor
FOR	Forestar Group Inc Common Stock
FPT	Federated Premier Intermediate 
FRC	FIRST REPUBLIC BANK Common Stoc
FRM	Furmanite Corporation Common St
FRT	Federal Realty Investment Trust
FSC	Fifth Street Finance Corp.
FSR	N/A
FSS	Federal Signal Corporation Comm
FUR	Winthrop Realty Trust New Commo
FXCM	FXCM Inc. Class A Common Stock
GAB	Gabelli Equity Trust, Inc. (The
GAS	AGL Resources, Inc. Common Stoc
GBAB	Guggenheim Build America Bonds 
GCAP	GAIN Capital Holdings, Inc. Com
GCH	Aberdeen Greater China Fund, In
GD	General Dynamics Corporation Co
GDI	N/A
GDL	GDL Fund, The Common Shares of 
GDV	Gabelli Dividend & Income Trust
GEO	Geo Group Inc (The) REIT
GES	Guess?, Inc. Common Stock
GET	N/A
GFA	Gafisa SA Gafisa S.A. American 
GFF	Griffon Corporation Common Stoc
GG	Goldcorp Inc. Common Stock
GGB	Gerdau S.A. Common Stock
GGE	Guggenheim Enhanced Equity Stra
GGG	Graco Inc. Common Stock
GHL	Greenhill & Co., Inc. Common St
GIL	Gildan Activewear, Inc. Class A
GIS	General Mills, Inc. Common Stoc
GJR	Synthetic Fixed-Income Securiti
GLT	Glatfelter Common Stock
GM	General Motors Company Common S
GME	Gamestop Corporation Common Sto
GNT	GAMCO Natural Resources, Gold &
GPC	Genuine Parts Company Common St
GPK	Graphic Packaging Holding Compa
GPS	Gap, Inc. (The) Common Stock
GR	N/A
GRA	W.R. Grace & Co. Common Stock
GRX	The Gabelli Healthcare & Wellne
GTS	Triple-S Management Corporation
GUA	Gulf Power Company Series 2011A
GUT	Gabelli Utility Trust (The) Com
H	Hyatt Hotels Corporation Class 
HAL	Halliburton Company Common Stoc
HAR	Harman International Industries
HAV	N/A
HBC	N/A
HBI	Hanesbrands Inc. Common Stock
HBM	Hudbay Minerals Inc Ordinary Sh
HE	Hawaiian Electric Industries, I
HEP	Holly Energy Partners, L.P. Com
HHS	Harte-Hanks, Inc. Common Stock
HHY	Brookfield High Income Fund Inc
HI	Hillenbrand Inc Common Stock
HIG	Hartford Financial Services Gro
HIL	Hill International, Inc. Common
HIO	Western Asset High Income Oppor
HIT	N/A
HIW	Highwoods Properties, Inc. Comm
HJO	N/A
HK	Halcon Resources Corporation Co
HL	Hecla Mining Company Common Sto
